symbol,from_,open,close,high,low,pre_market,after_hours,volume,status,otc
AACI,10/3/2022,9.92,9.98,9.98,9.9,9.92,9.98,137890,OK,
AACI,10/5/2022,10.1,9.93,10.1,9.93,10.1,9.93,4698,OK,
AACI,10/6/2022,9.93,9.925,9.93,9.92,9.93,9.925,4059,OK,
AACI,10/11/2022,9.92,9.92,9.92,9.92,9.92,9.92,4950,OK,
AACI,10/12/2022,9.92,9.92,9.92,9.92,9.92,9.92,1702,OK,
AACI,10/13/2022,9.92,9.92,9.92,9.92,9.92,9.92,1950,OK,
AACI,10/17/2022,9.92,9.92,9.9254,9.92,9.92,9.92,3366,OK,
AACI,10/18/2022,9.92,9.93,9.93,9.92,9.92,9.93,5939,OK,
AACI,10/20/2022,9.94,9.94,9.94,9.94,9.94,9.94,1603,OK,
AACI,10/24/2022,9.93,9.93,9.93,9.93,9.93,9.93,1626,OK,
AACI,10/26/2022,9.95,9.9454,9.95,9.9454,9.95,9.9454,963,OK,
AACI,10/27/2022,9.96,9.98,9.98,9.96,9.96,9.98,3000,OK,
AACI,10/31/2022,9.98,9.96,9.98,9.9508,9.98,9.96,3410,OK,
AAME,10/3/2022,2.81,2.8,2.81,2.8,2.81,2.8,1127,OK,
AAME,10/4/2022,2.8904,2.8,2.8904,2.8,2.8,2.8904,1103,OK,
AAME,10/5/2022,2.83,2.8,2.83,2.8,2.83,2.81,993,OK,
AAME,10/6/2022,2.8,2.825,2.825,2.8,2.8,2.825,600,OK,
AAME,10/7/2022,2.8001,2.75,2.81,2.75,2.8001,2.7543,5592,OK,
AAME,10/10/2022,2.78,2.78,2.78,2.78,2.78,2.78,718,OK,
AAME,10/11/2022,2.76,2.76,2.76,2.75,2.76,2.76,1287,OK,
AAME,10/12/2022,2.75,2.75,2.8,2.75,2.75,2.75,3282,OK,
AAME,10/13/2022,2.805,2.79,2.805,2.7726,2.805,2.7726,544,OK,
AAME,10/14/2022,2.92,2.77,2.92,2.76,2.92,2.77,820,OK,
AAME,10/17/2022,2.85,2.7,2.85,2.7,2.85,2.74,2689,OK,
AAME,10/18/2022,2.7708,2.75,2.855,2.75,2.7708,2.75,1460,OK,
AAME,10/19/2022,2.85,2.7,2.85,2.7,2.85,2.745,3376,OK,
AAME,10/20/2022,2.7,2.76,2.76,2.7,2.7,2.75,1206,OK,
AAME,10/24/2022,2.72,2.85,2.85,2.72,2.72,2.85,9703,OK,
AAME,10/25/2022,2.85,2.86,2.86,2.85,2.85,2.86,2367,OK,
AAME,10/26/2022,2.92,3,3,2.76,2.92,3,4059,OK,
AAME,10/27/2022,3.07,3.05,3.09,2.97,3.07,2.97,8535,OK,
AAME,10/28/2022,3.06,2.99,3.06,2.95,3.06,3.02,2388,OK,
