symbol,after_hours,close,from_,high,low,open,pre_market,status,volume,gap,close below open,,,,,,
AACI,9.99,9.99,12/1/2022,9.99,9.99,9.99,9.99,OK,4043,0.05%,0,,,,,ticker,marketCap
AACI,9.99,9.99,12/2/2022,9.995,9.99,9.995,9.995,OK,831,0.00%,-0.00050025,,,,,AACI,209580140
AACI,9.99,9.99,12/5/2022,10,9.99,9.99,9.99,OK,3648,0.00%,0,,,,,AAME,49288694.18
AACI,9.9927,9.9927,12/6/2022,9.9927,9.99,9.99,9.99,OK,1326,0.02%,0.00027027,,,,,AAOI,53909828.91
AACI,9.99,9.99,12/8/2022,9.995,9.99,9.995,9.995,OK,3842,0.10%,-0.00050025,,,,,ABEO,48973355.69
AACI,10,10,12/12/2022,10,10,10,10,OK,6381,0.10%,0,,,,,ABGI,195065429.5
AACI,10.018,10.018,12/13/2022,10.018,10,10.01,10.01,OK,4633,0.32%,0.000799201,,,,,ABIO,34324960.63
AACI,10.06,10.06,12/16/2022,10.06,10.05,10.05,10.05,OK,1334,0.00%,0.000995025,,,,,ABOS,223452050.6
AACI,10.06,10.06,12/19/2022,10.06,10.06,10.06,10.06,OK,204,0.00%,0,,,,,ABSI,208812494.3
AACI,10.06,10.06,12/23/2022,10.06,10.05,10.06,10.06,OK,11675,0.00%,0,,,,,ABVC,19647925.29
AACI,10.06,10.06,12/27/2022,10.06,10.06,10.06,10.06,OK,108,0.10%,0,,,,,ACAC,110184375
AACI,10.1,10.1,12/28/2022,10.1,10.07,10.07,10.07,OK,19213,0.79%,0.002979146,,,,,ACAX,112775100
AACI,10.12,10.12,12/30/2022,10.18,10.12,10.18,10.18,OK,20672,error,-0.00589391,,,,,ACBA,64293480
AAME,2.95,2.95,12/1/2022,2.95,2.87,2.87,2.87,OK,1283,-2.03%,0.027874564,,,,,ACER,49950402.56
AAME,2.89,2.89,12/2/2022,2.89,2.89,2.89,2.89,OK,464,-0.69%,0,,,,,ACHV,44384631.92
AAME,2.75,2.75,12/5/2022,2.87,2.75,2.87,2.87,OK,9068,-1.82%,-0.041811847,,,,,ACIU,176836615.8
AAME,2.6601,2.6601,12/6/2022,2.7,2.6601,2.7,2.7,OK,2702,2.62%,-0.014777778,,,,,ACNT,90494232.47
AAME,2.7002,2.7002,12/7/2022,2.7299,2.7002,2.7299,2.7299,OK,706,-2.97%,-0.010879519,,,,,ACON,4613911.699
AAME,2.59,2.59,12/8/2022,2.69,2.52,2.62,2.62,OK,13837,-0.77%,-0.011450382,,,,,ACOR,17523201.74
AAME,2.57,2.57,12/9/2022,2.58,2.53,2.57,2.57,OK,3580,-2.72%,0,,,,,ACRV,248738706.4
AAME,2.66,2.66,12/12/2022,2.66,2.5,2.5,2.5,OK,7196,-6.02%,0.064,,,,,ACRX,18527728.6
AAME,2.67,2.67,12/13/2022,2.67,2.5,2.5,2.5,OK,8449,-5.99%,0.068,,,,,ACST,23292359.07
AAME,2.4951,2.41,12/14/2022,2.51,2.41,2.51,2.51,OK,3447,0.41%,-0.039840637,,,,,ACTG,172854895.7
AAME,2.4139,2.4139,12/15/2022,2.46,2.41,2.42,2.42,OK,5383,1.91%,-0.002520661,,,,,ACXP,47529696.9
AAME,2.56,2.59,12/16/2022,2.6074,2.44,2.46,2.46,OK,9673,-4.25%,0.052845528,,,,,ADD,6044124
AAME,2.25,2.48,12/19/2022,2.48,2.48,2.48,2.48,OK,6777,-0.81%,0,,,,,ADES,45101747.6
AAME,2.45,2.45,12/20/2022,2.4601,2.45,2.46,2.46,OK,3620,-0.41%,-0.004065041,,,,,ADIL,6044853.7
AAME,2.4101,2.42,12/21/2022,2.441,2.41,2.44,2.44,OK,3669,0.00%,-0.008196721,,,,,ADMP,25242183.5
AAME,2.4999,2.4999,12/22/2022,2.4999,2.41,2.42,2.42,OK,8380,-3.60%,0.033016529,,,,,ADN,85334238
AAME,2.42,2.42,12/23/2022,2.42,2.41,2.41,2.41,OK,1889,-2.89%,0.004149378,,,,,ADOC,50721079.44
AAME,2.2799,2.395,12/27/2022,2.42,2.35,2.35,2.35,OK,5908,-1.04%,0.019148936,,,,,ADSE,146423694
AAME,2.33,2.33,12/28/2022,2.3701,2.33,2.37,2.37,OK,1419,-0.86%,-0.016877637,,,,,ADTH,141216297.6
AAME,2.18,2.18,12/29/2022,2.345,2.18,2.31,2.31,OK,9095,8.72%,-0.056277056,,,,,ADTX,6013886.2
AAME,2.341,2.341,12/30/2022,2.42,2.32,2.37,2.37,OK,5526,error,-0.012236287,,,,,ADVM,62330640.63
AAOI,2.26,2.23,12/1/2022,2.33,2.1206,2.18,2.19,OK,75360,-2.69%,0.02293578,,,,,AEHA,137540000
AAOI,2.331,2.32,12/2/2022,2.35,2.17,2.17,2.17,OK,141391,0.43%,0.069124424,,,,,AEHL,4162676.44
AAOI,2.27,2.29,12/5/2022,2.44,2.24,2.33,2.33,OK,123166,-0.44%,-0.017167382,,,,,AEI,19193810.48
AAOI,2.1,2.1,12/6/2022,2.28,2.05,2.28,2.36,OK,205712,0.00%,-0.078947368,,,,,AEMD,6957848.252
AAOI,2.09,2.1,12/7/2022,2.17,2.05,2.1,2.0501,OK,178757,1.43%,0,,,,,AERC,48660366.48
AAOI,2.18,2.18,12/8/2022,2.18,2.1,2.13,2.13,OK,77914,-1.38%,0.023474178,,,,,AEY,20486902.85
AAOI,2.11,2.12,12/9/2022,2.185,2.11,2.15,2.15,OK,46508,-0.47%,-0.013953488,,,,,AEYE,48106269.86
AAOI,2.15,2.15,12/12/2022,2.2,2.1,2.11,2.11,OK,93804,0.00%,0.018957346,,,,,AEZS,15587361.96
AAOI,2.11,2.14,12/13/2022,2.28,2.13,2.15,2.1998,OK,183054,0.00%,-0.004651163,,,,,AFAR,148087800
AAOI,2.12,2.13,12/14/2022,2.2,2.13,2.14,2.14,OK,161917,0.00%,-0.004672897,,,,,AFBI,100176253.9
AAOI,2.12,2.12,12/15/2022,2.16,2.12,2.13,2.13,OK,194416,1.42%,-0.004694836,,,,,AFIB,37101730.09
AAOI,2.16,2.15,12/16/2022,2.2,2.12,2.15,2.17,OK,157419,0.00%,0,,,,,AFMD,181447292
AAOI,2.14,2.13,12/19/2022,2.16,2.12,2.15,2.15,OK,198440,0.00%,-0.009302326,,,,,AGAE,42798589.65
AAOI,2.2,2.21,12/20/2022,2.3,2.13,2.13,2.13,OK,188566,-0.45%,0.037558685,,,,,AGBA,90890500
AAOI,2.15,2.13,12/21/2022,2.24,2.13,2.2,2.2,OK,66521,0.00%,-0.031818182,,,,,AGFS,156504438.4
AAOI,2.02,2,12/22/2022,2.13,1.95,2.13,2.13,OK,214509,-2.00%,-0.061032864,,,,,AGFY,3036846.53
AAOI,1.95,1.95,12/23/2022,1.98,1.87,1.9601,1.9601,OK,204086,-4.10%,-0.005152798,,,,,AGIL,202139770.6
AAOI,1.85,1.83,12/27/2022,1.93,1.8,1.87,1.93,OK,203912,0.00%,-0.021390374,,,,,AGLE,26246776.98
AAOI,1.68,1.74,12/28/2022,1.8606,1.691,1.83,1.83,OK,227086,-0.57%,-0.049180328,,,,,AGMH,39777940.88
AAOI,1.92,1.9,12/29/2022,1.98,1.73,1.73,1.73,OK,280937,0.00%,0.098265896,,,,,AGRI,17127819.64
AAOI,1.89,1.89,12/30/2022,1.94,1.85,1.9,1.9,OK,221054,error,-0.005263158,,,,,AGRX,9243866.345
ABEO,3.88,3.88,12/1/2022,3.95,3.66,3.66,3.7,OK,231980,-1.80%,0.06010929,,,,,AHPI,4013537
ABEO,3.97,3.99,12/2/2022,4.0799,3.75,3.81,3.7301,OK,227292,-1.00%,0.047244094,,,,,AIB,115110261.8
ABEO,3.75,3.76,12/5/2022,4.04,3.7006,3.95,4,OK,180047,-0.53%,-0.048101266,,,,,AIHS,6914617.2
ABEO,3.56,3.53,12/6/2022,3.805,3.48,3.74,3.74,OK,320498,-2.55%,-0.056149733,,,,,AIMD,13806004.22
ABEO,3.23,3.24,12/7/2022,3.5,3.18,3.44,3.46,OK,351875,0.00%,-0.058139535,,,,,AIP,143059843.2
ABEO,3.15,3.13,12/8/2022,3.41,3.1,3.24,3.21,OK,146809,-0.64%,-0.033950617,,,,,AIRG,69213338.72
ABEO,3.135,3.12,12/9/2022,3.255,3.06,3.11,3.09,OK,153280,3.53%,0.003215434,,,,,AIRS,208399778.4
ABEO,3.09,3.1,12/12/2022,3.23,3.0801,3.23,3.03,OK,136641,0.97%,-0.040247678,,,,,AIRT,70285782.72
ABEO,3.03,3,12/13/2022,3.25,2.9497,3.13,3.21,OK,485604,0.00%,-0.041533546,,,,,AKAN,5241756.366
ABEO,2.98,2.97,12/14/2022,3.17,2.945,3,3,OK,205663,-0.67%,-0.01,,,,,AKBA,114700358.8
ABEO,2.8401,2.85,12/15/2022,3.01,2.8,2.95,3.06,OK,173857,-1.75%,-0.033898305,,,,,AKLI,83362358.22
ABEO,2.66,2.66,12/16/2022,2.88,2.65,2.8,2.81,OK,292644,0.00%,-0.05,,,,,AKTS,158621586.3
ABEO,2.66,2.54,12/19/2022,2.87,2.51,2.66,2.79,OK,347836,-0.79%,-0.045112782,,,,,AKU,65448331.75
ABEO,2.61,2.6,12/20/2022,2.75,2.4714,2.52,2.52,OK,465749,-0.77%,0.031746032,,,,,ALBT,53871615.73
ABEO,2.68,2.68,12/21/2022,2.74,2.4,2.58,2.58,OK,372926,-1.12%,0.03875969,,,,,ALCO,180635211.9
ABEO,2.62,2.6,12/22/2022,2.65,2.39,2.65,2.65,OK,262379,0.38%,-0.018867925,,,,,ALGS,40631997.76
ABEO,2.52,2.51,12/23/2022,2.64,2.46,2.61,2.53,OK,131409,0.00%,-0.038314176,,,,,ALIM,20409400.43
ABEO,2.35,2.41,12/27/2022,2.52,2.34,2.51,2.55,OK,398700,2.07%,-0.039840637,,,,,ALLR,3732602.821
ABEO,2.41,2.4,12/28/2022,2.4999,2.34,2.46,2.46,OK,158376,-1.25%,-0.024390244,,,,,ALLT,127316182.8
ABEO,2.84,2.82,12/29/2022,2.915,2.36,2.37,2.28,OK,1376034,-2.84%,0.189873418,,,,,ALOR,229944825
ABEO,3.09,3.08,12/30/2022,3.08,2.665,2.74,2.84,OK,241879,error,0.124087591,,,,,ALOT,91868837.5
ABGI,10.04,10.04,12/1/2022,10.04,10.02,10.02,10.02,OK,135753,0.00%,0.001996008,,,,,ALPA,196306279.2
ABGI,10.04,10.04,12/2/2022,10.04,10.04,10.04,10.04,OK,67109,0.10%,0,,,,,ALPP,107914549
ABGI,10.05,10.05,12/5/2022,10.05,10.05,10.05,10.05,OK,204,0.00%,0,,,,,ALPS,179747958.8
ABGI,10.05,10.05,12/6/2022,10.05,10.05,10.05,10.05,OK,56175,0.00%,0,,,,,ALR,19764319.14
ABGI,10.05,10.05,12/7/2022,10.06,10.05,10.05,10.05,OK,8471,0.00%,0,,,,,ALRN,13805184.16
ABGI,10.05,10.04,12/8/2022,10.05,10.04,10.05,10.05,OK,1596,0.10%,-0.000995025,,,,,ALSA,150565500
ABGI,10.05,10.05,12/9/2022,10.05,10.05,10.05,10.05,OK,3418,0.00%,0,,,,,ALTO,216071749.1
ABGI,10.05,10.05,12/12/2022,10.05,10.05,10.05,10.05,OK,21363,0.10%,0,,,,,ALTU,124608881.2
ABGI,10.06,10.06,12/13/2022,10.06,10.06,10.06,10.06,OK,2300,0.00%,0,,,,,ALYA,141352732.9
ABGI,10.04,10.04,12/14/2022,10.06,10.04,10.06,10.06,OK,2646,0.00%,-0.001988072,,,,,ALZN,57654076.39
