ticker,marketCap
AACI,209580139.99999997
AADI,312989351.11
AAL,8266739282.64
AAME,47679683.089
AAOI,53909828.91
AAON,4006989126.8399997
AAPL,2066941771740.0
AAWW,2859111158.4
ABCB,3269239562.26
ABCL,2898197325.51
ABEO,52901460.92
ABGI,195065429.5
ABIO,34152038.910000004
ABNB,54136649146.5
ABOS,220996533.60000002
ABSI,194029308.9
ABST,545453209.4399999
ABUS,364568308.05
ABVC,20395205.625
ACAB,382125000.0
ACAC,110184375.0
ACAD,2577941424.48
ACAH,431896875.0
ACAX,113112750.00000001
ACB,299229241.0758
ACBA,64293479.99999999
ACCD,560404108.9
ACDC,1359764128.8
ACER,48974808.76
ACET,383090997.47999996
ACGL,23220628635.06
ACHC,7489203014.16
ACHV,43847721.050000004
ACIU,170163535.92000002
ACIW,2584605059.0
ACLS,2606866641.92
ACLX,1358593605.14
ACMR,458439121.17
ACNB,338800536.78000003
ACNT,88453776.27
ACON,4536478.699999999
ACOR,18659801.9938
ACQR,624845440.8
ACRS,1050260258.25
ACRV,240593610.23999998
ACRX,16835567.16
ACST,22351028.331
ACT,3927763849.6800003
ACTG,183304561.96
ACVA,1298942974.3500001
ACXP,46138583.82
ADAL,309723750.0
ADBE,156452797000.0
ADD,5982368.819999999
ADEA,995960068.9200001
ADER,348390625.0
ADES,46439511.300000004
ADI,83539813202.23
ADIL,5773601.83
ADMA,857104342.28
ADMP,25392166.7645
ADN,93609073.2
ADOC,50721079.4375
ADP,99085760903.34001
ADPT,1092612879.48
ADSE,152280641.76
ADSK,40320471603.78
ADTH,144257879.42
ADTN,1467226826.85
ADTX,4959737.8618
ADUS,1602820114.36
ADV,664943680.96
ADVM,57792969.987500004
AEAC,303300000.0
AEAE,292387500.0
AEHA,137540000.0
AEHL,3611733.9699999997
AEHR,552656655.6
AEI,17078325.7
AEIS,3206723604.7
AEMD,6319392.2928
AEP,48791356226.1
AERC,48505397.16
AEY,20328480.9
AEYE,44078232.910000004
AEZS,15441685.680000002
AFAR,148594950.0
AFBI,100176253.89999999
AFCG,320325720.0
AFIB,32720084.049999997
AFMD,185180775.4
AFRI,297781054.2
AFRM,2805751109.21
AFYA,1404808848.52
AGAE,41039743.5
AGBA,94575250.0
AGEN,731548044.0
AGFS,157034961.92
AGFY,2949168.546
AGGR,390987500.0
AGIL,202622204.4
AGIO,1542851556.48
AGLE,27673833.992200002
AGMH,40020489.3
AGNC,5916282949.349999
AGRI,17756363.479999997
AGRX,9219497.629
AGYS,1983602234.94
AHCO,2589542601.2999997
AHPI,3693256.7474
AHRN,383809941.25
AIB,114772694.99999999
AIHS,6942275.6688
AIMC,3894136999.75
AIMD,12407193.24
AIP,143728347.1
AIRG,66555219.36
AIRS,207838053.9
AIRT,70285782.72
AKAM,13255525215.6
AKAN,5071569.471
AKBA,106146121.89099999
AKLI,87257795.52000001
AKRO,2562622592.7999997
AKTS,162064009.73999998
AKU,64448695.5444
AKYA,363237551.49
ALBO,447354725.63
ALBT,51991908.28
ALCO,181243406.19
ALDX,407578142.88
ALEC,763335204.97
ALGM,5743070392.82
ALGN,16473894825.9
ALGS,40798978.569699995
ALGT,1250918706.31
ALHC,2202189136.56
ALIM,18992986.22
ALKS,4293481862.2799997
ALKT,1334663976.23
ALLK,717414286.74
ALLO,907081868.66
