,ticker,marketCap
0,AACI,209580140.0
3,AAME,49288694.18
4,AAOI,53909828.91
10,ABEO,48973355.688700005
11,ABGI,195065429.5
12,ABIO,34324960.626
14,ABOS,223452050.64
15,ABSI,208812494.34
18,ABVC,19647925.2909
20,ACAC,110184375.0
23,ACAX,112775100.0
25,ACBA,64293479.99999999
28,ACER,49950402.56
32,ACHV,44384631.92
33,ACIU,176836615.76000002
39,ACNT,90494232.47
40,ACON,4613911.6985
41,ACOR,17523201.742186
44,ACRV,248738706.42
45,ACRX,18527728.6
46,ACST,23292359.0651
48,ACTG,172854895.72
50,ACXP,47529696.9
53,ADD,6044124.0
56,ADES,45101747.6
58,ADIL,6044853.700162
60,ADMP,25242183.4995
61,ADN,85334238.0
62,ADOC,50721079.4375
65,ADSE,146423694.0
67,ADTH,141216297.625
69,ADTX,6013886.199999999
72,ADVM,62330640.625
75,AEHA,137540000.0
76,AEHL,4162676.44
78,AEI,19193810.4791
80,AEMD,6957848.251968
82,AERC,48660366.48
83,AEY,20486902.8546
84,AEYE,48106269.86
85,AEZS,15587361.96
86,AFAR,148087800.0
87,AFBI,100176253.9
89,AFIB,37101730.088
90,AFMD,181447292.025
94,AGAE,42798589.65
95,AGBA,90890500.0
97,AGFS,156504438.4
98,AGFY,3036846.5298
100,AGIL,202139770.58
102,AGLE,26246776.9826
103,AGMH,39777940.88
105,AGRI,17127819.64
106,AGRX,9243866.3452
109,AHPI,4013537.0
111,AIB,115110261.75
112,AIHS,6914617.2
114,AIMD,13806004.2198
115,AIP,143059843.16
116,AIRG,69213338.72
117,AIRS,208399778.37
118,AIRT,70285782.72
120,AKAN,5241756.366
121,AKBA,114700358.7505
122,AKLI,83362358.22
124,AKTS,158621586.2707
125,AKU,65448331.752837
128,ALBT,53871615.73319999
129,ALCO,180635211.9363
134,ALGS,40631997.757
137,ALIM,20409400.4322
142,ALLR,3732602.821038
143,ALLT,127316182.84
145,ALOR,229944825.0
146,ALOT,91868837.5
147,ALPA,196306279.23
149,ALPP,107914548.9978
150,ALPS,179747958.79999998
151,ALR,19764319.1427
153,ALRN,13805184.16
