ticker,marketCap
AACI,209580140.0
AADI,303070296.5378
AAME,49288694.18
AAOI,53909828.91
ABEO,48973355.688700005
ABGI,195065429.5
ABIO,34324960.626
ABOS,223452050.64
ABSI,208812494.34
ABUS,352050941.25
ABVC,19647925.2909
ACAB,382500000.0
ACAC,110184375.0
ACAH,432112500.0
ACAX,112775100.0
ACB,290342528.3016
ACBA,64293479.99999999
ACER,49950402.56
ACET,361665326.48
ACHV,44384631.92
ACIU,176836615.76000002
ACNB,338375014.88
ACNT,90494232.47
ACON,4613911.6985
ACOR,17523201.742186
ACRV,248738706.42
ACRX,18527728.6
ACST,23292359.0651
ACTG,172854895.72
ACXP,47529696.9
ADAL,309723750.0
ADD,6044124.0
ADER,348390625.0
ADES,45101747.6
ADIL,6044853.700162
ADMP,25242183.4995
ADN,85334238.0
ADOC,50721079.4375
ADSE,146423694.0
ADTH,141216297.625
ADTX,6013886.199999999
ADVM,62330640.625
AEAC,303525000.0
AEAE,292387500.0
AEHA,137540000.0
AEHL,4162676.44
AEI,19193810.4791
AEMD,6957848.251968
AERC,48660366.48
AEY,20486902.8546
AEYE,48106269.86
AEZS,15587361.96
AFAR,148087800.0
AFBI,100176253.9
AFCG,316354740.0
AFIB,37101730.088
AFMD,181447292.025
AFRI,299658952.74
AGAE,42798589.65
AGBA,90890500.0
AGFS,156504438.4
AGFY,3036846.5298
AGGR,391181250.0
AGIL,202139770.58
AGLE,26246776.9826
AGMH,39777940.88
AGRI,17127819.64
AGRX,9243866.3452
AHPI,4013537.0
AHRN,383622442.5
AIB,115110261.75
AIHS,6914617.2
AIMD,13806004.2198
AIP,143059843.16
AIRG,69213338.72
AIRS,208399778.37
AIRT,70285782.72
AKAN,5241756.366
AKBA,114700358.7505
AKLI,83362358.22
AKTS,158621586.2707
AKU,65448331.752837
AKYA,353369028.67
ALBO,439798757.335
ALBT,53871615.73319999
ALCO,180635211.9363
ALDX,405235739.76
ALGS,40631997.757
ALIM,20409400.4322
ALLR,3732602.821038
ALLT,127316182.84
ALOR,229944825.0
ALOT,91868837.5
ALPA,196306279.23
ALPN,335634505.23
ALPP,107914548.9978
ALPS,179747958.79999998
ALR,19764319.1427
ALRN,13805184.16
ALRS,453511247.06
ALSA,150565500.0
ALTO,216071749.125
ALTU,124608881.175
ALVR,486776471.225
ALXO,441789099.68
ALYA,141352732.88500002
ALZN,57654076.3896
AMAO,33721768.08
AMCI,187312500.0
AMNB,386550096.09
AMPG,19516587.3606
AMSC,105701623.95
AMST,5747967.8585
AMTI,15970564.0797
AMTX,135935198.883
AMV,29409237.57
ANEB,58187402.59
ANGH,43169385.64
ANGN,25593636.1797
ANIK,430400848.74
ANIX,127859255.64
ANNX,232912621.77
ANTX,193104953.745
ANY,19209981.0
AOGO,136846859.75
AOUT,135432852.8274
APAC,256750000.0
APCX,38888294.31
APDN,20072748.6
APEI,241827724.8
APEN,412208987.345
APGN,13764861.67
APLD,173870838.765
APLT,37966575.24
APM,18385643.794518
APMI,187500000.0
APPH,72517001.4808
APRE,19874180.25
APTM,363594728.25
APTO,55219939.3522
APTX,23700501.3
APVO,11484969.3448
APWC,29586347.3677
APXI,221554687.5
APYX,86840533.22
AQB,53983199.998959
AQMS,88577022.97999999
AQST,48331588.850314
AQU,70543204.8
ARAV,78373214.11
ARAY,193653157.985
ARBE,217205081.28
ARBG,284050000.0
ARCK,232875000.00000003
ARCT,444804340.25
ARDS,40160275.1784
AREB,3135548.678917
AREC,84848481.64
ARIZ,89904028.89999999
ARKR,59641462.036400005
ARQQ,371705998.41
ARRW,360453125.0
ARTE,257725781.25
ARTL,8538507.120000001
ARTW,9296584.785
ARVL,114902079.3
ARYD,193783650.0
ARYE,192056865.0
ASAP,3739691.3882
ASCA,88591860.0
ASCB,258819000.0
ASMB,63657880.425
ASNS,8054402.7372
ASPI,57376402.09
ASPS,141483124.57500002
ASPU,7632097.480799999
ASRT,201867302.34
ASRV,67260444.81
ASTC,17496468.0
ASTI,49369331.46
ASTR,115933198.383
ASTS,312507235.36499995
ASUR,189610649.91
ASYS,111301224.3
ATAI,436252057.41
ATAK,258055000.00000003
ATCX,195395054.54
ATER,61680020.3486
ATHA,126539025.225
ATHX,13687986.1036
ATIF,21589561.110000003
ATLC,377745908.7795
ATLO,212844592.89
ATNF,19870161.3937
ATNX,25799515.0622
ATOM,147893107.4
ATOS,72580939.852
ATRA,311676430.95
ATRO,325089086.76
ATXG,33580444.32
ATXI,5687333.68
ATXS,405848030.04
ATY,89514650.16
AUBN,79060065.64199999
AUGX,59517204.36
AUID,16191880.2582
AURA,402621854.23
AURC,350631122.31
AUUD,12148751.04
AUVI,12499950.755061
AVAC,266810062.5
AVAH,146094552.992
AVCT,36204056.69
AVGR,8030495.52
AVHI,127750000.0
AVIR,402695734.565
AVNW,345602927.77000004
AVRO,32830566.0
AVTX,47164661.04
AWH,41814044.4128
AWRE,37464715.65
AXDX,58478603.148
AXGN,416945777.4
AXLA,24236318.7915
AXTI,191634889.6
AYLA,6381805.0462
