ticker,marketCap
AACI,209580139.99999997
AADI,303070296.5378
AAL,8204998698.375
AAME,49288694.18
AAOI,53909828.91
AAON,3991561261.11
AAPL,1984935423450.0
AAWW,2871875047.5
ABCB,3215838746.33
ABCL,2755147112.01
ABEO,48973355.688700005
ABGI,195065429.5
ABIO,34324960.626
ABNB,53763327879.4032
ABOS,223452050.64
ABSI,208812494.33999997
ABST,552767716.08
ABUS,352050941.25
ABVC,19647925.2909
ACAB,382500000.0
ACAC,110184375.0
ACAD,2650810371.78
ACAH,432112500.0
ACAX,112775100.0
ACB,290342528.3016
ACBA,64293479.99999999
ACCD,530909155.8
ACDC,1183048750.95
ACER,49950402.56
ACET,361665326.47999996
ACGL,23139256569.120003
ACHC,7373662588.65
ACHV,44384631.92
ACIU,176836615.76000002
ACIW,2584605059.0
ACLS,2594384165.56
ACLX,1413849510.3200002
ACMR,586873427.49
ACNB,338375014.88
ACNT,90494232.47
ACON,4613911.6985
ACOR,17523201.742186
ACQR,625465327.15
ACRS,1004915688.37
ACRV,248738706.42000002
ACRX,18527728.599999998
ACST,23292359.0651
ACT,3895195326.88
ACTG,172854895.72
ACVA,1253060701.2
ACXP,47529696.9
ADAL,309723750.0
ADBE,155946056000.0
ADD,6044124.0
ADEA,1048489608.4200001
ADER,348390625.0
ADES,45101747.599999994
ADI,82816612966.01001
ADIL,6044853.700162
ADMA,847163699.135
ADMP,25242183.4995
ADN,85334238.0
ADOC,50721079.4375
ADP,98426184750.63
ADPT,1092612879.48
ADSE,146423694.0
ADSK,39973085938.439995
ADTH,141216297.625
ADTN,1473473668.0500002
ADTX,6013886.199999999
ADUS,1581876641.1599998
ADV,706502661.02
ADVM,62330640.625
AEAC,303525000.0
AEAE,292387500.0
AEHA,137540000.0
AEHL,4162676.4400000004
AEHR,515537925.0
AEI,19193810.4791
AEIS,3215695552.2999997
AEMD,6957848.251968
AEP,48498453929.64
AERC,48660366.480000004
AEY,20486902.8546
AEYE,48106269.86
AEZS,15587361.959999999
AFAR,148087800.0
AFBI,100176253.89999999
AFCG,316354740.0
AFIB,37101730.088
AFMD,181447292.025
AFRI,299658952.74
AFRM,2648228640.0073
AFYA,1457871410.66
AGAE,42798589.65
AGBA,90890500.0
AGEN,731548044.0
AGFS,156504438.4
AGFY,3036846.5297999997
AGGR,391181250.0
AGIL,202139770.58
AGIO,1517027474.16
AGLE,26246776.9826
AGMH,39777940.879999995
