,after_hours,close,from_,high,low,open,pre_market,status,symbol,volume,otc
0,12.51,12.53,2022-12-27,12.79,12.395,12.62,12.72,OK,AAL,18878234.0,
1,12.33,12.32,2022-12-28,12.68,12.25,12.52,12.51,OK,AAL,20470358.0,
2,12.67,12.7,2022-12-29,12.71,12.295,12.39,12.43,OK,AAL,19706290.0,
3,12.74,12.72,2022-12-30,12.825,12.53,12.55,12.59,OK,AAL,18990343.0,
4,106.69,109.1,2022-12-27,119.67,108.76,117.495,123.88,OK,TSLA,208643444.0,
5,114.0,112.71,2022-12-28,116.27,108.24,110.35,107.84,OK,TSLA,220957487.0,
6,122.84,121.82,2022-12-29,123.57,117.495,120.385,115.0,OK,TSLA,221899313.0,
7,123.5,123.18,2022-12-30,124.48,119.75,119.95,122.46,OK,TSLA,157777339.0,
8,129.5,130.03,2022-12-27,131.41,128.72,131.38,132.52,OK,AAPL,69007830.0,
9,126.32,126.04,2022-12-28,131.0275,125.87,129.67,130.52,OK,AAPL,85438391.0,
10,129.25,129.61,2022-12-29,130.4814,127.73,127.99,126.82,OK,AAPL,75501810.0,
11,129.97,129.93,2022-12-30,129.95,127.43,128.41,129.0,OK,AAPL,76204209.0,
12,1.46,1.46,2022-12-27,1.55,1.372,1.55,1.55,OK,ZTEK,29984.0,
13,1.51,1.48,2022-12-28,1.6,1.43,1.52,1.52,OK,ZTEK,26732.0,
14,1.46,1.46,2022-12-29,1.5699,1.42,1.42,1.42,OK,ZTEK,77741.0,
15,1.5,1.5499,2022-12-30,1.55,1.35,1.35,1.44,OK,ZTEK,45065.0,
